URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.et/core/ValueSet/EthiopiaStateVS,0.9.0,active,,EthiopiaStateVS,Ethiopia State / Region ValueSet,"Allowed list of Ethiopian states and city administrations.","StructureDefinition/HIVPatient","et.fhir.core"
http://fhir.et/core/ValueSet/education-status-vs,0.9.0,active,,EducationStatusVS,Ethiopia Education Status ValueSet,"ValueSet containing all education status codes used in Ethiopia","StructureDefinition/HIVPatient","et.fhir.core"
http://fhir.et/core/ValueSet/gender-vs,0.9.0,active,,ETGenderVS,Ethiopian Patient Gender values,"Patient Gender....","StructureDefinition/HIVPatient","hl7.fhir.r4.core"
http://fhir.et/core/ValueSet/marital-status-vs,0.9.0,active,,ETMaritalStatusVS,Ethiopian Patient Marital Status values,"Patient Marital Status....","StructureDefinition/HIVPatient","THO (V3)"
http://fhir.et/core/ValueSet/occupation-vs,0.9.0,active,,OccupationVS,Ethiopia Occupation ValueSet,"ValueSet containing all occupation codes used in Ethiopia","StructureDefinition/HIVPatient","et.fhir.core"
http://fhir.et/hiv/ValueSet/arv-regimen-vs,0.1.0,draft,,ARVRegimenVS,ART Regimen Value Set,"Antiretroviral therapy regimens dispensed in the Ethiopia HIV program.","StructureDefinition/hiv-medication-dispense,StructureDefinition/hiv-medication-statement","Internal"
http://fhir.et/hiv/ValueSet/exposure-source-vs,0.1.0,active,,ExposureSourceVS,Source of Exposure ValueSet,"Value set of Source of Exposure values.","StructureDefinition/exposure-source-observation","Internal"
http://fhir.et/hiv/ValueSet/hiv-adherence-vs,0.1.0,active,,AdherenceVS,ART Adherence Value Set,"Value set for documenting ART adherence","StructureDefinition/hiv-adherence","Internal"
http://fhir.et/hiv/ValueSet/hiv-assay-number-vs,0.1.0,active,,HIVAssayNumberVS,HIV Assay Number,"Permitted assay numbers in HIV testing strategy","StructureDefinition/hiv-assay-number-observation","Internal"
http://fhir.et/hiv/ValueSet/hiv-assay-result-vs,0.1.0,active,,HIVAssayResultVS,HIV Assay Result,"Allowed HIV assay results",,"Internal"
http://fhir.et/hiv/ValueSet/hiv-condition-vs,0.1.0,active,,HIVConditionVS,HIV Condition Value Set,"Value set representing HIV-related conditions and statuses","StructureDefinition/hiv-condition","Internal"
http://fhir.et/hiv/ValueSet/hiv-exposure-ways-vs,0.1.0,active,,HIVExposureWaysVS,Ways of HIV Exposure,"Ways in which the client was exposed to HIV","StructureDefinition/hiv-exposure-observation","Internal"
